lambda_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.95,Bimodal,0.5,0.5000029668,0.0050076934965040286,5.933600000007644e-06,True
16.0,0.94,Bimodal,0.5,0.5000042282,0.006009555100989352,8.456400000023123e-06,True
16.0,0.9299999999999999,Bimodal,0.5,0.5000056991999999,0.0070115365456985025,1.1398399999862363e-05,True
16.0,0.92,Bimodal,0.5,0.5000060288000001,0.007212840553772237,1.2057600000225932e-05,True
16.0,0.91,Bimodal,0.5,0.500006372,0.0074057976437764015,1.274399999995346e-05,True
16.0,0.9,Bimodal,0.5,0.500006953,0.007723556942909209,1.3905999999952456e-05,True
16.0,0.89,Bimodal,0.5,0.5000077608,0.008151460349897468,1.5521599999956948e-05,True
16.0,0.88,Bimodal,0.5,0.5000087866,0.008673162401077678,1.7573200000065015e-05,True
16.0,0.87,Bimodal,0.5,0.5000100268000001,0.00927279859611124,2.0053600000125016e-05,True
16.0,0.8600000000000001,Bimodal,0.5,0.5000114732,0.009936239318235023,2.2946399999890232e-05,True
16.0,0.8500000000000001,Bimodal,0.5,0.5000121918,0.010253842963909602,2.438360000001083e-05,True
16.0,0.8400000000000001,Bimodal,0.5,0.500012377,0.010325583353553892,2.4754000000015708e-05,True
16.0,0.8300000000000001,Bimodal,0.5,0.500012797,0.010489414056697425,2.5594000000017658e-05,True
16.0,0.8200000000000001,Bimodal,0.5,0.5000134474000001,0.010741031938796912,2.6894800000176744e-05,True
16.0,0.81,Bimodal,0.5,0.500014315,0.01107438077926273,2.8630000000084976e-05,True
16.0,0.8,Bimodal,0.5,0.500015399,0.01148226870746078,3.079800000005406e-05,True
16.0,0.79,Bimodal,0.5,0.5000166892,0.011957007349247274,3.33783999999504e-05,True
16.0,0.78,Bimodal,0.5,0.5000181808,0.01249091090122493,3.636160000008992e-05,True
16.0,0.77,Bimodal,0.5,0.5000190324,0.012789721693874014,3.8064800000015e-05,True
16.0,0.76,Bimodal,0.5,0.500019181,0.012835011742399167,3.8361999999958485e-05,True
16.0,0.75,Bimodal,0.5,0.5000195576,0.012951383485632746,3.911520000010604e-05,True
16.0,0.74,Bimodal,0.5,0.500020154,0.01313685959113012,4.030799999998891e-05,True
16.0,0.73,Bimodal,0.5,0.500020966,0.013388490226793857,4.1932000000022285e-05,True
16.0,0.72,Bimodal,0.5,0.5000219858,0.013702559365484658,4.3971600000025646e-05,True
16.0,0.71,Bimodal,0.5,0.5000232066000001,0.014074831867156858,4.641320000020599e-05,True
16.0,0.7,Bimodal,0.5,0.5000246206,0.014500777375794586,4.92411999999387e-05,True
16.0,0.69,Bimodal,0.5,0.500026227,0.014975740240917097,5.245399999997957e-05,True
16.0,0.68,Bimodal,0.5,0.5000266326,0.015095617646563636,5.326520000004109e-05,True
16.0,0.67,Bimodal,0.5,0.500026781,0.015133470643688567,5.356199999995148e-05,True
16.0,0.66,Bimodal,0.5,0.5000271482,0.015227957084889379,5.429640000009783e-05,True
16.0,0.65,Bimodal,0.5,0.5000277248,0.015377977414072843,5.544960000003485e-05,True
16.0,0.64,Bimodal,0.5,0.5000285054,0.015581870026061463,5.7010799999979156e-05,True
16.0,0.63,Bimodal,0.5,0.500029486,0.015837506985750906,5.8971999999934965e-05,True
16.0,0.62,Bimodal,0.5,0.5000306564,0.016142397266683848,6.131279999999073e-05,True
16.0,0.61,Bimodal,0.5,0.5000320164,0.01649375773959972,6.403279999989131e-05,True
16.0,0.6,Bimodal,0.5,0.5000335588,0.016888650239031,6.711759999999956e-05,True
16.0,0.5900000000000001,Bimodal,0.5,0.5000352618,0.017320760359567,7.052360000003866e-05,True
16.0,0.5800000000000001,Bimodal,0.5,0.5000352096,0.017309148024149894,7.04192000000603e-05,True
16.0,0.5700000000000001,Bimodal,0.5,0.5000353676,0.017343612914760803,7.0735200000005e-05,True
16.0,0.56,Bimodal,0.5,0.5000357318,0.017423834053080584,7.146360000009899e-05,True
16.0,0.55,Bimodal,0.5,0.5000362944000001,0.017549164473286773,7.258880000016177e-05,True
16.0,0.54,Bimodal,0.5,0.5000370484,0.01771861417475171,7.409679999992314e-05,True
16.0,0.53,Bimodal,0.5,0.5000379902000001,0.017930910207981113,7.598040000011963e-05,True
16.0,0.52,Bimodal,0.5,0.5000391134,0.018184523581235658,7.822679999991422e-05,True
16.0,0.51,Bimodal,0.5,0.5000404141999999,0.01847774210966623,8.08283999997883e-05,True
16.0,0.5,Bimodal,0.5,0.5000418868,0.018808694661484607,8.377359999989231e-05,True
16.0,0.49,Bimodal,0.5,0.5000435276,0.01917540578717068,8.70552000000746e-05,True
16.0,0.48,Bimodal,0.5,0.5000449632,0.0194961956727816,8.992640000005103e-05,True
16.0,0.47000000000000003,Bimodal,0.5,0.5000448507999999,0.01947461104352019,8.97015999998807e-05,True
16.0,0.46,Bimodal,0.5,0.5000449396,0.01949095800498124,8.987919999992044e-05,True
16.0,0.45,Bimodal,0.5,0.500045223,0.019545131692077264,9.044599999996628e-05,True
15.9,0.95,Bimodal,0.5,0.500002968,0.005007817843061571,5.935999999984176e-06,True
15.9,0.94,Bimodal,0.5,0.500004229,0.006009709268180668,8.457999999933463e-06,True
15.9,0.9299999999999999,Bimodal,0.5,0.5000056968,0.007011722680986519,1.1393599999909299e-05,True
15.9,0.92,Bimodal,0.5,0.5000060274,0.007213121509958966,1.2054799999994259e-05,True
15.9,0.91,Bimodal,0.5,0.5000063734,0.007406176243925313,1.2746799999963088e-05,True
15.9,0.9,Bimodal,0.5,0.5000069546,0.007724023037829225,1.3909199999995181e-05,True
15.9,0.89,Bimodal,0.5,0.500007761,0.008151999093530569,1.5521999999990044e-05,True
15.9,0.88,Bimodal,0.5,0.5000087878,0.008673763713369314,1.7575600000041547e-05,True
15.9,0.87,Bimodal,0.5,0.5000100286,0.009273453311957084,2.0057199999978792e-05,True
15.9,0.8600000000000001,Bimodal,0.5,0.5000114752,0.009936938607859274,2.295039999999915e-05,True
15.9,0.8500000000000001,Bimodal,0.5,0.500012194,0.010254618549623562,2.43879999999308e-05,True
15.9,0.8400000000000001,Bimodal,0.5,0.50001238,0.010326460066775166,2.476000000006806e-05,True
15.9,0.8300000000000001,Bimodal,0.5,0.5000128008,0.010490385674370545,2.560159999998035e-05,True
15.9,0.8200000000000001,Bimodal,0.5,0.500013449,0.010742088931484482,2.6897999999997424e-05,True
15.9,0.81,Bimodal,0.5,0.5000143184000001,0.011075509287785291,2.863680000020352e-05,True
15.9,0.8,Bimodal,0.5,0.5000154024,0.01148345935807847,3.080479999995056e-05,True
15.9,0.79,Bimodal,0.5,0.5000166942,0.011958249484319693,3.338839999988963e-05,True
15.9,0.78,Bimodal,0.5,0.5000181858,0.012492199391476493,3.637160000002915e-05,True
15.9,0.77,Bimodal,0.5,0.5000190381999999,0.012791037374465129,3.807639999986456e-05,True
15.9,0.76,Bimodal,0.5,0.5000191871999999,0.01283634401589857,3.837439999987424e-05,True
15.9,0.75,Bimodal,0.5,0.5000195627999999,0.012952723846120666,3.912559999985632e-05,True
15.9,0.74,Bimodal,0.5,0.5000201602000001,0.013138207420991015,4.032040000012671e-05,True
15.9,0.73,Bimodal,0.5,0.500020971,0.013389842778617165,4.194199999996151e-05,True
15.9,0.72,Bimodal,0.5,0.5000219894,0.01370391949972046,4.397879999995524e-05,True
15.9,0.71,Bimodal,0.5,0.50002321,0.014076194279356122,4.642000000010249e-05,True
15.9,0.7,Bimodal,0.5,0.5000246268,0.014502131430156233,4.92536000000765e-05,True
15.9,0.69,Bimodal,0.5,0.5000262312,0.014977096809085277,5.246240000000846e-05,True
15.9,0.68,Bimodal,0.5,0.500026641,0.015097545850934292,5.328200000009886e-05,True
15.9,0.67,Bimodal,0.5,0.5000267874000001,0.015135337817847781,5.357480000012238e-05,True
15.9,0.66,Bimodal,0.5,0.5000271544,0.01522976122322159,5.430880000001359e-05,True
15.9,0.65,Bimodal,0.5,0.5000277302,0.015379718554706143,5.5460400000040266e-05,True
15.9,0.64,Bimodal,0.5,0.5000285130000001,0.015583550415336692,5.7026000000126587e-05,True
15.9,0.63,Bimodal,0.5,0.5000294923999999,0.015839135359145315,5.898479999988382e-05,True
15.9,0.62,Bimodal,0.5,0.5000306642,0.016143965851937503,6.132839999994921e-05,True
15.9,0.61,Bimodal,0.5,0.5000320246000001,0.016495272375530615,6.404920000013803e-05,True
15.9,0.6,Bimodal,0.5,0.500033565,0.016890120314403387,6.712999999991531e-05,True
15.9,0.5900000000000001,Bimodal,0.5,0.5000352736,0.017323310621948793,7.054719999999293e-05,True
15.9,0.5800000000000001,Bimodal,0.5,0.5000352198000001,0.017311574525582556,7.043960000019389e-05,True
15.9,0.5700000000000001,Bimodal,0.5,0.5000353792,0.017345906486112863,7.075839999992617e-05,True
15.9,0.56,Bimodal,0.5,0.5000357414,0.017426012517216212,7.148279999991125e-05,True
15.9,0.55,Bimodal,0.5,0.5000363032,0.017551221325642102,7.260640000006369e-05,True
15.9,0.54,Bimodal,0.5,0.5000370576000001,0.017720554642336923,7.411520000011329e-05,True
15.9,0.53,Bimodal,0.5,0.5000380002,0.017932741257655028,7.600039999999808e-05,True
15.9,0.52,Bimodal,0.5,0.5000391224,0.018186248910726666,7.824480000007128e-05,True
15.9,0.51,Bimodal,0.5,0.5000404227999999,0.018479371566964664,8.084559999987917e-05,True
15.9,0.5,Bimodal,0.5,0.5000418952,0.018810234019623243,8.379039999995008e-05,True
15.9,0.49,Bimodal,0.5,0.500043535,0.019176866129878668,8.70699999999669e-05,True
15.9,0.48,Bimodal,0.5,0.5000449776,0.019499084665513325,8.995519999999146e-05,True
15.9,0.47000000000000003,Bimodal,0.5,0.5000448646,0.019477339419131056,8.972919999994389e-05,True
15.9,0.46,Bimodal,0.5,0.500044953,0.019493523078017213,8.990599999991744e-05,True
15.9,0.45,Bimodal,0.5,0.5000452358,0.019547540544407764,9.047160000008603e-05,True
15.8,0.95,Bimodal,0.5,0.5000029685999999,0.005007945843430037,5.93719999986142e-06,True
15.8,0.94,Bimodal,0.5,0.5000042290000001,0.0060098672682410694,8.458000000155508e-06,True
15.8,0.9299999999999999,Bimodal,0.5,0.5000056968,0.007011910695865365,1.1393599999909299e-05,True
15.8,0.92,Bimodal,0.5,0.5000060278,0.007213405688033301,1.2055600000060451e-05,True
15.8,0.91,Bimodal,0.5,0.5000063742,0.007406559561191758,1.2748400000095472e-05,True
15.8,0.9,Bimodal,0.5,0.5000069554,0.007724492294801861,1.3910799999905521e-05,True
15.8,0.89,Bimodal,0.5,0.5000077624,0.008152544160322189,1.5524799999999672e-05,True
15.8,0.88,Bimodal,0.5,0.5000087894,0.008674370768089874,1.757880000008427e-05,True
15.8,0.87,Bimodal,0.5,0.5000100294,0.009274114676622383,2.0058799999889132e-05,True
15.8,0.8600000000000001,Bimodal,0.5,0.5000114754,0.009937646114058021,2.2950800000032245e-05,True
15.8,0.8500000000000001,Bimodal,0.5,0.500012196,0.010255403906304243,2.4392000000039715e-05,True
15.8,0.8400000000000001,Bimodal,0.5,0.5000123824,0.010327350055343498,2.4764800000021125e-05,True
15.8,0.8300000000000001,Bimodal,0.5,0.5000128026,0.010491367751475142,2.5605200000056172e-05,True
15.8,0.8200000000000001,Bimodal,0.5,0.5000134506,0.0107431568011628,2.690120000004015e-05,True
15.8,0.81,Bimodal,0.5,0.5000143208,0.01107664989456942,2.864159999993454e-05,True
15.8,0.8,Bimodal,0.5,0.5000154064000001,0.011484661398174749,3.0812800000168394e-05,True
15.8,0.79,Bimodal,0.5,0.5000166976,0.011959507667930403,3.3395200000008174e-05,True
15.8,0.78,Bimodal,0.5,0.5000181898,0.01249350339056143,3.6379600000024936e-05,True
