epsilon_0j,alpha_outflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.95,Uniform,1.0,0.5264383396,0.4531742944491337,0.05287667919999994,False
16.0,0.94,Uniform,1.0,0.5262406252,0.4510648265504418,0.05248125040000007,False
16.0,0.9299999999999999,Uniform,0.203121,0.5261963714,0.45141816838412757,0.05239274279999995,False
16.0,0.92,Uniform,0.013832,0.5264069525999999,0.4542700882562448,0.052813905199999844,False
16.0,0.91,Uniform,1.0,0.5257940708,0.4475893603682737,0.051588141599999915,False
16.0,0.9,Uniform,0.027006,0.5251878242,0.4434934307046364,0.05037564839999997,False
16.0,0.89,Uniform,0.025484,0.5246367868,0.4403287431290745,0.049273573600000065,False
16.0,0.88,Uniform,0.065146,0.5236536481999999,0.4345445301140412,0.047307296399999865,False
16.0,0.87,Uniform,0.155273,0.5231016668,0.4306255189579634,0.04620333360000006,False
16.0,0.8600000000000001,Uniform,0.506359,0.5227830809999999,0.42814793681286406,0.045566161999999855,False
16.0,0.8500000000000001,Uniform,1.0,0.5236011908,0.43182294309080277,0.04720238160000001,False
16.0,0.8400000000000001,Uniform,0.051532,0.5228004532,0.42579320971285356,0.04560090640000003,False
16.0,0.8300000000000001,Uniform,0.065419,0.5218638196,0.41802904510566946,0.04372763919999989,False
16.0,0.8200000000000001,Uniform,0.085718,0.5208828224,0.40972764136375367,0.04176564479999989,False
16.0,0.81,Uniform,0.132747,0.5200950919999999,0.4033267341647905,0.04019018399999985,False
16.0,0.8,Uniform,1.0,0.5203579286,0.40320464324660776,0.04071585719999993,False
16.0,0.79,Uniform,0.200731,0.519166229,0.39509726439464116,0.03833245799999996,False
16.0,0.78,Uniform,1.0,0.5179335549999999,0.38081908414930554,0.03586710999999987,False
16.0,0.77,Uniform,1.0,0.5168595749999999,0.36878827851255314,0.03371914999999981,False
16.0,0.76,Uniform,0.241045,0.5139216616,0.33567896164304406,0.027843323199999936,False
16.0,0.75,Uniform,0.952975,0.5087616455999999,0.2674458337513303,0.017523291199999846,False
16.0,0.74,Uniform,0.244341,0.5068857255999999,0.23722017789987865,0.013771451199999785,False
16.0,0.73,Uniform,0.847666,0.5051972032,0.2040666519225277,0.01039440639999989,False
16.0,0.72,Uniform,0.307812,0.503419895,0.16620010143002514,0.006839789999999901,False
16.0,0.71,Uniform,0.620023,0.5017555117999999,0.11956709733792915,0.003511023599999774,False
16.0,0.7,Uniform,0.52428,0.5004055198,0.0569334090643055,0.000811039600000063,False
16.0,0.69,Uniform,0.5,0.5002204262000001,0.04222777105252142,0.0004408524000001357,True
16.0,0.68,Uniform,0.5,0.500179059,0.03807921480617438,0.0003581180000000739,True
16.0,0.67,Uniform,0.5,0.5001567572,0.03564255176620116,0.0003135143999999368,True
16.0,0.66,Uniform,0.5,0.5001421580000001,0.0339544571386166,0.0002843160000001177,True
16.0,0.65,Uniform,0.5,0.5001316822,0.032691724872968037,0.00026336440000007677,True
16.0,0.64,Uniform,0.5,0.500123755,0.03170451731010817,0.0002475099999998953,True
16.0,0.63,Uniform,0.5,0.5001175324,0.030910734309997665,0.00023506480000001773,True
16.0,0.62,Uniform,0.5,0.5001125378000001,0.030260421550141196,0.00022507560000017968,True
16.0,0.61,Uniform,0.5,0.500108442,0.0297191353764833,0.0002168840000000838,True
16.0,0.6,Uniform,0.5,0.5001045153999999,0.029191096290374047,0.00020903079999978758,True
16.0,0.5900000000000001,Uniform,0.5,0.5001011528,0.028733620340225547,0.00020230560000000786,True
16.0,0.5800000000000001,Uniform,0.5,0.5000982563999999,0.02833470536853919,0.0001965127999998817,True
16.0,0.5700000000000001,Uniform,0.5,0.500095746,0.027985118622967316,0.0001914919999999043,True
16.0,0.56,Uniform,0.5,0.5000935572,0.027677613169355457,0.00018711440000007684,True
16.0,0.55,Uniform,0.5,0.5000916394,0.027406293354593856,0.00018327880000001961,True
16.0,0.54,Uniform,0.5,0.500089954,0.027166429006022706,0.0001799080000000064,True
16.0,0.53,Uniform,0.5,0.5000884729999999,0.026954132321280713,0.00017694599999984462,True
16.0,0.52,Uniform,0.5,0.5000871654000001,0.026766092101039238,0.00017433080000017753,True
16.0,0.51,Uniform,0.5,0.5000860098000001,0.026599508206413675,0.0001720196000001284,True
16.0,0.5,Uniform,0.5,0.5000849908,0.026451977490285,0.00016998160000003537,True
16.0,0.49,Uniform,0.5,0.500084092,0.02632143573413421,0.00016818400000007117,True
16.0,0.48,Uniform,0.5,0.5000833012,0.02620608599526295,0.00016660239999999327,True
16.0,0.47000000000000003,Uniform,0.5,0.5000826016,0.026104361903861183,0.00016520319999990818,True
16.0,0.46,Uniform,0.5,0.5000819874,0.02601487856912337,0.00016397479999996634,True
16.0,0.45,Uniform,0.5,0.5000814508,0.02593641394437632,0.0001629015999999872,True
15.9,0.95,Uniform,1.0,0.5263841128,0.45205489128859744,0.05276822559999994,False
15.9,0.94,Uniform,0.246347,0.5261999777999999,0.4512131758813875,0.05239995559999988,False
15.9,0.9299999999999999,Uniform,0.012426,0.5261943534,0.4523440950675605,0.05238870679999996,False
15.9,0.92,Uniform,1.0,0.5262528143999999,0.45164973673383746,0.05250562879999987,False
15.9,0.91,Uniform,1.0,0.5253261208,0.44585065176430494,0.050652241599999925,False
15.9,0.9,Uniform,0.084056,0.5246116734,0.44264691625252955,0.04922334680000007,False
15.9,0.89,Uniform,1.0,0.5243765494,0.43828346094577064,0.048753098800000005,False
15.9,0.88,Uniform,0.067317,0.5235020934,0.4332835645464345,0.04700418679999996,False
15.9,0.87,Uniform,0.163419,0.5229903386,0.42972974752594834,0.045980677199999986,False
15.9,0.8600000000000001,Uniform,0.543947,0.5228027344,0.4283918998594942,0.04560546880000005,False
15.9,0.8500000000000001,Uniform,0.433288,0.52286252,0.42887663421643873,0.045725039999999995,False
15.9,0.8400000000000001,Uniform,0.139489,0.5224258392,0.42497887622619673,0.04485167839999993,False
15.9,0.8300000000000001,Uniform,0.066444,0.521598913,0.41554483422013033,0.043197826000000106,False
15.9,0.8200000000000001,Uniform,0.087603,0.5206453754,0.4075373284705516,0.0412907508,False
15.9,0.81,Uniform,0.263472,0.5199426725999999,0.40254660123804187,0.039885345199999866,False
15.9,0.8,Uniform,1.0,0.519914346,0.3998035805582268,0.03982869199999994,False
15.9,0.79,Uniform,0.348321,0.5185457614000001,0.38913915923740555,0.037091522800000165,False
15.9,0.78,Uniform,1.0,0.516880631,0.37084659157675703,0.03376126200000007,False
15.9,0.77,Uniform,0.232893,0.515777542,0.36006942573581635,0.031555084000000067,False
15.9,0.76,Uniform,0.989377,0.5110652554,0.3012327231168039,0.02213051080000006,False
15.9,0.75,Uniform,0.36634,0.5081296602,0.25583760640587816,0.01625932040000011,False
15.9,0.74,Uniform,0.569525,0.5061191062,0.2245037109801762,0.012238212400000004,False
15.9,0.73,Uniform,0.392888,0.5045247490000001,0.18963293377884527,0.009049498000000211,False
15.9,0.72,Uniform,0.455772,0.502683385,0.14881689118257316,0.005366769999999965,False
15.9,0.71,Uniform,0.599515,0.5011784824000001,0.09574260302557536,0.0023569648000001386,False
15.9,0.7,Uniform,0.499691,0.5002777012,0.047383989659262805,0.0005554024000000712,False
15.9,0.69,Uniform,0.5,0.5002010236,0.040336882077470854,0.000402047199999922,True
15.9,0.68,Uniform,0.5,0.500169796,0.03708587112318892,0.00033959199999999967,True
15.9,0.67,Uniform,0.5,0.5001511272,0.03500032603353161,0.0003022543999999794,True
15.9,0.66,Uniform,0.5,0.5001383414,0.033498994998955325,0.00027668280000003875,True
15.9,0.65,Uniform,0.5,0.5001289292,0.03235120630608508,0.00025785839999992177,True
15.9,0.64,Uniform,0.5,0.5001216803999999,0.0314412031270731,0.00024336079999986993,True
15.9,0.63,Uniform,0.5,0.5001159305999999,0.03070239980676694,0.0002318611999998499,True
15.9,0.62,Uniform,0.5,0.5001112704,0.030092911463009825,0.0002225408000000595,True
15.9,0.61,Uniform,0.5,0.500107356,0.029572966204452503,0.0002147120000000058,True
15.9,0.6,Uniform,0.5,0.5001036200000001,0.029069260036798626,0.00020724000000016396,True
15.9,0.5900000000000001,Uniform,0.5,0.5001004138,0.02863127848702062,0.00020082760000006417,True
15.9,0.5800000000000001,Uniform,0.5,0.5000976424,0.028248221946734146,0.00019528479999997295,True
15.9,0.5700000000000001,Uniform,0.5,0.5000952276,0.02791169782850431,0.00019045520000005034,True
15.9,0.56,Uniform,0.5,0.5000931178,0.027615057514548645,0.0001862355999999732,True
15.9,0.55,Uniform,0.5,0.5000912662,0.027352846550723436,0.0001825323999999906,True
15.9,0.54,Uniform,0.5,0.500089639,0.027120701170277154,0.00017927800000006044,True
15.9,0.53,Uniform,0.5,0.5000882031999999,0.02691495872739487,0.00017640639999982888,True
