num_shards,epsilon_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
10,16.0,0.95,Spike,1.0,0.8712477439999998,0.3264120736365743,0.7424954879999996,False
10,16.0,0.94,Spike,1.0,0.8134090253999999,0.38234286928329275,0.6268180507999999,False
10,16.0,0.9299999999999999,Spike,1.0,0.7590954951999999,0.42104798136220417,0.5181909903999997,False
10,16.0,0.92,Spike,1.0,0.7096041164,0.44777330165798895,0.41920823279999997,False
10,16.0,0.91,Spike,1.0,0.6819342408000001,0.45973553837680387,0.3638684816000002,False
10,16.0,0.9,Spike,1.0,0.6806529952,0.4602039600362998,0.3613059904,False
10,16.0,0.89,Spike,1.0,0.7010121802,0.4517200236009098,0.4020243604,False
10,16.0,0.88,Spike,1.0,0.7262945426,0.4396149647050385,0.4525890852000001,False
10,16.0,0.87,Spike,0.0,0.6565624822,0.46886596823474,0.31312496440000004,False
10,16.0,0.8600000000000001,Spike,0.0,0.5774646244,0.4882103315444366,0.15492924880000003,False
10,16.0,0.8500000000000001,Spike,1.0,0.5342320902,0.4929475565278041,0.06846418039999991,False
10,16.0,0.8400000000000001,Spike,1.0,0.5800992434,0.48753185595580695,0.16019848679999993,False
10,16.0,0.8300000000000001,Spike,0.0,0.601520841,0.4834860938136459,0.20304168200000006,False
10,16.0,0.8200000000000001,Spike,0.000421,0.5333176930000001,0.49290931551487593,0.06663538600000019,False
10,16.0,0.81,Spike,1.0,0.5944825358,0.48473808743879315,0.18896507159999998,False
10,16.0,0.8,Spike,0.0,0.5372289772,0.4922882649613549,0.07445795439999991,False
10,16.0,0.79,Spike,1.0,0.5783234026,0.48711210204171523,0.15664680520000007,False
10,16.0,0.78,Spike,1.0,0.5406245128,0.49139766622577474,0.08124902560000002,False
10,16.0,0.77,Spike,0.0,0.5476395096000001,0.4906394084284695,0.09527901920000015,False
10,16.0,0.76,Spike,0.0,0.5594965158,0.48897826904366487,0.11899303160000008,False
10,16.0,0.75,Spike,0.0,0.5604504718,0.4884531992366062,0.12090094359999992,False
10,16.0,0.74,Spike,0.0,0.5520248966,0.48905590558799067,0.10404979319999996,False
10,16.0,0.73,Spike,0.0,0.5459630052,0.489158410097331,0.09192601039999992,False
10,16.0,0.72,Spike,0.000666,0.532897559,0.48975866406381463,0.06579511800000004,False
10,16.0,0.71,Spike,1.0,0.5415696992,0.4882572777052016,0.08313939839999995,False
10,16.0,0.7,Spike,2.7e-05,0.5344583052,0.48825671510523594,0.06891661040000008,False
10,16.0,0.69,Spike,0.0,0.5442232948,0.486561581122202,0.08844658959999996,False
10,16.0,0.68,Spike,1.0,0.5389792806,0.48611330133514846,0.0779585612,False
10,16.0,0.67,Spike,1.0,0.5388670574,0.48507830512191874,0.07773411479999992,False
10,16.0,0.66,Spike,0.0,0.5387978102,0.48398654040076367,0.0775956203999999,False
10,16.0,0.65,Spike,0.185523,0.529204425,0.4832158771807221,0.05840884999999996,False
10,16.0,0.64,Spike,8.5e-05,0.5330935304,0.48163128354324264,0.06618706079999992,False
10,16.0,0.63,Spike,1.0,0.5361101556,0.47960573097482245,0.07222031119999994,False
10,16.0,0.62,Spike,2.1e-05,0.533464336,0.4783535793171522,0.06692867199999997,False
10,16.0,0.61,Spike,1.0,0.529295987,0.4760499738418287,0.05859197400000005,False
10,16.0,0.6,Spike,0.000171,0.5318184846,0.4740464733353996,0.06363696920000006,False
10,16.0,0.5900000000000001,Spike,4.4e-05,0.5322569584,0.4715871836737208,0.06451391679999996,False
10,16.0,0.5800000000000001,Spike,0.000461,0.5306891831999999,0.4690105529469596,0.06137836639999983,False
10,16.0,0.5700000000000001,Spike,0.076942,0.5276737146,0.4664904054066056,0.05534742920000002,False
10,16.0,0.56,Spike,1.0,0.5274765772000001,0.46243849266715475,0.05495315440000015,False
10,16.0,0.55,Spike,1.0,0.5262169942,0.4588844058190417,0.05243398840000002,False
10,16.0,0.54,Spike,1.0,0.52854589,0.4564437224066958,0.057091779999999925,False
10,16.0,0.53,Spike,0.05178,0.5262565415999999,0.45278822805412106,0.05251308319999981,False
10,16.0,0.52,Spike,1.0,0.5252715052,0.4485282979660307,0.05054301039999998,False
10,16.0,0.51,Spike,0.046799,0.525339626,0.44432253591777204,0.0506792519999999,False
10,16.0,0.5,Spike,0.057581,0.524937906,0.4417847114469671,0.04987581200000002,False
10,16.0,0.49,Spike,1.0,0.5252633742,0.43512732340305976,0.05052674840000004,False
10,16.0,0.48,Spike,1.0,0.5240205612,0.4301224170002204,0.048041122399999914,False
10,16.0,0.47000000000000003,Spike,1.0,0.5227663774000001,0.4270884160009979,0.045532754800000186,False
10,16.0,0.46,Spike,1.0,0.522375925,0.42012166522997657,0.044751849999999926,False
10,16.0,0.45,Spike,0.378909,0.5210841074,0.4147216174715472,0.04216821479999999,False
10,15.9,0.95,Spike,1.0,0.8780788864,0.3185030053154979,0.7561577728,False
10,15.9,0.94,Spike,1.0,0.823883349,0.37351445980931786,0.6477666980000001,False
10,15.9,0.9299999999999999,Spike,1.0,0.7729573384,0.41224876160764595,0.5459146768,False
10,15.9,0.92,Spike,1.0,0.7266406788,0.4393822180738209,0.4532813576000001,False
10,15.9,0.91,Spike,1.0,0.7006996392,0.4518291079169433,0.4013992784,False
10,15.9,0.9,Spike,1.0,0.6993406936000001,0.4524292897891983,0.3986813872000001,False
10,15.9,0.89,Spike,1.0,0.7181314646,0.44372073245576454,0.4362629292,False
10,15.9,0.88,Spike,0.0,0.7128266194,0.4461747094565933,0.42565323880000006,False
